City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,sadjoavato,-12.6334,49.349,303.74,43,16,8.6,MG,1728639593
358,bikaner,28.0167,73.3,309.22,10,0,2.63,IN,1728639594
359,kodinsk,58.6881,99.1844,271.02,61,100,1.68,RU,1728639595
360,uliastay,47.7417,96.8444,284.28,33,12,0.68,MN,1728639596
361,aligudarz,33.4006,49.6949,297.72,15,1,4.55,IR,1728639597
362,tofol,5.3248,163.0078,302.3,73,87,4.61,FM,1728639598
363,beau vallon,-20.4189,57.6953,299.28,53,40,6.69,MU,1728639599
364,dawei,14.0833,98.2,300.94,85,94,1.07,MM,1728639600
365,boende,-0.2167,20.8667,304.1,61,80,0.48,CD,1728639601
366,kashgar,39.4547,75.9797,297.71,23,0,2.0,CN,1728639603
